Shigella dysenteriae Sd197, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
nitroreductase A 	692694	693416	-	240	82776070	3799289	mdaA	SDY_0744	COG0778C
hypothetical protein SDY_0745 	693400	693687	-	95	82776071	3799290	ybjC	SDY_0745	-
glutaredoxin 1 	693847	694104	+	85	82776072	3799291	grxA	SDY_0746	COG0695O
hypothetical protein SDY_0747 	694134	694511	-	125	82776073	3799292	ybjM	SDY_0747	-
hypothetical protein SDY_0748 	694781	696466	+	561	82776074	3799293	-	SDY_0748	COG2985R
hypothetical protein SDY_0749 	696799	697350	+	183	82776075	3799294	-	SDY_0749	COG1045E
putative DEOR-type transcriptional regulator 	697410	697946	-	178	82776076	3799295	-	SDY_0750	COG3226S
putative DEOR-type transcriptional regulator 	698030	699238	+	402	82776077	3799296	-	SDY_0751	COG0738G
hypothetical protein SDY_0752 	699238	699498	+	86	82776078	3799297	-	SDY_0752	COG0561R
IS1 ORF2 	699492	699869	-	125	82776079	3799298	insB	SDY_0753	COG1662L
IS1 ORF1 	699914	700189	-	91	82776080	3799299	insA	SDY_0754	COG3677L
putative transport system permease protein 	700282	701193	-	303	82776081	3799300	-	SDY_0755	COG1173EP
putative transport system permease protein 	701196	702116	-	306	82776082	3799301	-	SDY_0756	COG0601EP
putative transport protein 	702134	703672	-	512	82776083	3799302	-	SDY_0757	COG0747E
glutathione transporter ATP-binding protein 	703692	705530	-	612	82776084	3799303	-	SDY_0758	COG1123R
L-asparaginase 	705550	706515	-	321	82776085	3799190	ybiK	SDY_0759	COG1446E
molybdopterin biosynthesis protein MoeA 	706719	707954	+	411	82776086	3799191	moeA	SDY_0760	COG0303H
molybdopterin biosynthesis protein MoeB 	707954	708703	+	249	82776087	3799192	moeB	SDY_0761	COG0476H
fructose-6-phosphate aldolase 	708779	709441	-	220	161950149	3799193	mipB	SDY_0762	COG0176G
putative pyruvate formate-lyase 2 activating enzyme 	709545	710471	+	308	82776089	3799194	ybiY	SDY_0763	COG1180O
putative formate acetyltransferase 	710477	712909	+	810	82776090	3799195	ybiW	SDY_0764	COG1882C
hypothetical protein SDY_0765 	713055	713711	+	218	82776091	3799196	-	SDY_0765	COG0561R
iso-IS1 ORF2 	713708	714103	-	131	82776092	3799197	-	SDY_0766	COG1662L
putative regulatory protein 	714683	715228	-	181	82776093	3799198	-	SDY_0767	-
hypothetical protein SDY_0768 	715646	716053	+	135	82776094	3799199	-	SDY_0768	-
IS600 ORF2 	716050	716763	-	237	82776095	3799200	-	SDY_0769	COG2801L
IS600 ORF1 	716904	717206	-	100	82776096	3799201	-	SDY_0770	COG2963L
hypothetical protein SDY_0771 	717245	717574	+	109	82776097	3799202	-	SDY_0771	-
putative phage tail fiber protein 	717561	718613	+	350	82776098	3799203	-	SDY_0772	-
hypothetical protein SDY_0773 	718914	719540	+	208	82776099	3799204	-	SDY_0773	-
putative DNA modification protein 	719801	720517	+	238	82776100	3799205	-	SDY_0774	-
hypothetical protein SDY_0775 	720885	722144	+	419	82776101	3799206	ybiU	SDY_0775	-
putative ATP-binding component of a transport system 	722385	723977	-	530	82776102	3799207	ybiT	SDY_0776	COG0488R
hypothetical protein SDY_0777 	724196	725116	+	306	82776103	3799208	ybiS	SDY_0777	COG1376S
hypothetical protein SDY_0778 	725174	726139	-	321	82776104	3797879	ybiR	SDY_0778	COG0471P
manganese transport regulator MntR 	726290	726757	-	155	82776105	3797880	-	SDY_0779	COG1321K
putative enzyme 	727343	728926	+	527	82776106	3797881	ybiP	SDY_0780	COG2194R
outer membrane protein X 	728975	729490	-	171	82776107	3797882	ompX	SDY_0781	COG3637M
DNA starvation/stationary phase protection protein Dps 	731030	731533	+	167	82776108	3797884	dps	SDY_0783	COG0783P
IS1 ORF1 	731934	732209	-	91	82776109	3797885	insA	SDY_0784	COG3677L
glutamine ABC transporter periplasmic protein 	732583	733329	+	248	82776110	3797886	glnH	SDY_0785	COG0834ET
glutamine ABC transporter permease protein 	733468	734127	+	219	82776111	3797887	glnP	SDY_0786	COG0765E
glutamine ABC transporter ATP-binding protein 	734124	734846	+	240	82776112	3797888	glnQ	SDY_0787	COG1126E
iso-IS1 ORF2 	736332	736727	-	131	82776113	3797890	-	SDY_0789	COG1662L
putative SAM-dependent methyltransferase 	737959	738966	-	335	82776114	3797891	ybiN	SDY_0790	COG3129R
hypothetical protein SDY_0791 	739017	739421	+	134	82776115	3797892	ybiM	SDY_0791	-
hypothetical protein SDY_0792 	739686	740018	+	110	82776116	3797893	-	SDY_0792	COG4774P
IS4 orf 	740057	741403	+	448	82776117	3797894	-	SDY_0793	COG3385L
catecholate siderophore receptor Fiu 	741577	743406	+	609	82776118	3797895	-	SDY_0794	COG4774P
putative hydroxylase 	743448	744125	+	225	161950148	3797896	ybiX	SDY_0795	COG3128S
hypothetical protein SDY_0796 	744199	744465	+	88	82776120	3797897	ybiI	SDY_0796	COG1734T
hypothetical protein SDY_0797 	744731	744991	+	86	82776121	3797898	ybiJ	SDY_0797	-
hypothetical protein SDY_0798 	745219	746304	-	361	82776122	3799074	ybiC	SDY_0798	COG2055C
glycosyl transferase family protein 	746445	747407	-	320	82776123	3799075	ybiB	SDY_0799	COG0547E
ATP-dependent DNA helicase DinG 	747435	749585	-	716	82776124	3799076	dinG	SDY_0800	COG1199KL
iso-IS1 ORF2 	749982	750377	-	131	82776125	3799077	-	SDY_0801	COG1662L
hypothetical protein SDY_0802 	750572	750787	+	71	82776126	3799078	-	SDY_0802	-
hypothetical protein SDY_0803 	750928	751266	+	112	82776127	3799079	-	SDY_0803	-
hypothetical protein SDY_0804 	751077	751406	-	109	82776128	3799080	-	SDY_0804	-
iso-IS1 ORF2 	751601	751996	+	131	82776129	3799081	-	SDY_0805	COG1662L
ATP-dependent RNA helicase RhlE 	752216	753580	-	454	82776130	3799082	rhlE	SDY_0806	COG0513LKJ
putative DNA-binding transcriptional regulator 	753797	754480	+	227	82776131	3799083	ybiH	SDY_0807	-
hypothetical protein SDY_0808 	754480	755478	+	332	82776132	3799084	-	SDY_0808	COG1566V
putative ATP-binding component of a transport system 	755456	757207	+	583	82776133	3799085	ybhF	SDY_0809	COG1131V
hypothetical protein SDY_0810 	757200	758333	+	377	82776134	3799086	ybhS	SDY_0810	COG0842V
hypothetical protein SDY_0811 	758344	759450	+	368	82776135	3799087	ybhR	SDY_0811	COG0842V
hypothetical protein SDY_0812 	759412	759822	-	136	82776136	3799088	ybhQ	SDY_0812	-
hypothetical protein SDY_0813 	759955	760716	+	253	82776137	3799089	ybhP	SDY_0813	COG3568R
cardiolipin synthase 2 	760713	761945	+	410	82776138	3799090	ybhO	SDY_0814	COG1502I
hypothetical protein SDY_0815 	761945	762685	+	246	82776139	3799091	ybhN	SDY_0815	COG0392S
iso-IS1 ORF1 	762669	762995	-	108	82776140	3799092	-	SDY_0816	COG3677L
hypothetical protein SDY_0817 	763048	763602	-	184	82776141	3795808	ybhL	SDY_0817	COG0670R
iso-IS1 ORF2 	763714	764109	-	131	161950147	3795809	-	SDY_0818	COG1662L
insertion sequence 2 OrfA protein 	764468	764833	+	121	82776143	3795810	-	SDY_0819	COG2963L
insertion element IS2 transposase InsD 	764791	765696	+	301	161950146	3795811	-	SDY_0820	COG2801L
molybdopterin synthase large subunit 	766002	766454	-	150	82776145	3795812	moaE	SDY_0821	COG0314H
molybdopterin synthase small subunit 	766456	766701	-	81	82776146	3795813	moaD	SDY_0822	COG1977H
molybdenum cofactor biosynthesis protein C 	766694	767179	-	161	82776147	3795814	moaC	SDY_0823	COG0315H
molybdopterin biosynthesis, protein B 	767182	767694	-	170	82776148	3795815	moaB	SDY_0824	COG0521H
molybdenum cofactor biosynthesis protein A 	767716	768705	-	329	82776149	3795816	moaA	SDY_0825	COG2896H
putative structural protein 	769102	770010	+	302	82776150	3795817	ybhK	SDY_0826	COG0391S
excinuclease ABC subunit B 	770201	772222	-	673	82776151	3795818	uvrB	SDY_0827	COG0556L
dithiobiotin synthetase 	772801	773478	-	225	82776152	3795819	bioD	SDY_0828	COG0132H
biotin biosynthesis protein BioC 	773471	774226	-	251	82776153	3795820	bioC	SDY_0829	COG2226H
8-amino-7-oxononanoate synthase 	774213	775367	-	384	82776154	3795821	bioF	SDY_0830	COG0156H
biotin synthesis 	775364	776404	-	346	82776155	3795822	bioB	SDY_0831	COG0502H
adenosylmethionine--8-amino-7-oxononanoate transaminase 	776492	777781	+	429	82776156	3795823	bioA	SDY_0832	COG0161H
putative kinase inhibitor protein 	777840	778316	+	158	82776157	3795824	ybhB	SDY_0833	COG1881R
invasion plasmid antigen 	778896	780659	+	587	82776158	3795825	ipaH_1	SDY_0834	COG4886S
IS600 ORF1 	780984	781286	+	100	82776159	3795826	-	SDY_0835	COG2963L
IS600 ORF2 	781427	782140	+	237	82776160	3795827	-	SDY_0836	COG2801L
hypothetical protein SDY_0837 	782152	782379	+	75	82776161	3799459	-	SDY_0837	COG2133G
putative transferase 	782376	783008	-	210	82776162	3799460	yliJ	SDY_0838	COG0625O
iso-IS1 ORF2 	783238	783633	-	131	82776163	3799461	-	SDY_0839	COG1662L
hypothetical protein SDY_0840 	783828	784121	+	97	82776164	3799462	-	SDY_0840	-
D-alanyl-D-alanine carboxypeptidase fraction C 	784024	785226	+	400	82776165	3799463	dacC	SDY_0841	COG1686M
DNA-binding transcriptional repressor DeoR 	785273	786031	-	252	82776166	3799464	deoR	SDY_0842	COG1349KG
undecaprenyl pyrophosphate phosphatase 	786089	786685	-	198	82776167	3799465	ybjG	SDY_0843	COG0671I
IS911 ORF1 	788515	788817	+	100	82776168	3799467	-	SDY_0845	COG2963L
IS911 ORF2 	788862	789683	+	273	82776169	3799468	-	SDY_0846	COG2801L
IS600 ORF2 	790070	790783	+	237	82776170	3799469	-	SDY_0847	COG2801L
hypothetical protein SDY_0848 	790780	791334	+	184	82776171	3799470	-	SDY_0848	-
IS600 ORF1 	792549	792851	+	100	82779656	3799471	-	SDY_0849	COG2963L
IS600 ORF2 	792992	793795	+	267	82779655	3799472	-	SDY_0850	COG2801L
large extracellular alpha-helical protein 	795138	799652	+	1504	82776172	3799474	yfaSR	SDY_0852	COG2373R
hypothetical protein SDY_0853 	799653	801302	+	549	82776173	3799475	-	SDY_0853	COG5445S
hypothetical protein SDY_0854 	801307	801831	+	174	82776174	3799476	-	SDY_0854	COG4676S
hypothetical protein SDY_0855 	801825	802082	+	85	82776175	3799477	-	SDY_0855	COG4676S
hybrid sensory kinase in two-component regulatory system with RcsB and YojN 	802357	805206	+	949	161950145	3799652	rcsC	SDY_0856	COG0642T
transcriptional regulator RcsB 	805406	806056	-	216	82776177	3799653	rcsB	SDY_0857	COG2197TK
phosphotransfer intermediate protein in two-component regulatory system with RcsBC 	806073	808745	-	890	82776178	3799654	yojN	SDY_0858	COG0642T
iso-IS1 ORF2 	809182	809577	-	131	82776179	3799655	-	SDY_0859	COG1662L
hypothetical protein SDY_0860 	809772	809999	+	75	82776180	3799656	-	SDY_0860	-
outer membrane porin protein C 	810258	811385	+	375	82776181	3799657	ompC	SDY_0861	COG3203M
thiamine biosynthesis lipoprotein ApbE 	811497	812552	+	351	82776182	3799658	yojL	SDY_0862	COG1477H
O6-methylguanine-DNA methyltransferase 	812626	813690	+	354	82776183	3799659	ada	SDY_0863	COG2169F
DNA repair system specific for alkylated DNA 	813690	814340	+	216	82776184	3799660	alkB	SDY_0864	COG3145L
multidrug transporter membrane component/ATP-binding component 	814416	816059	+	547	82776185	3799661	yojI	SDY_0865	COG4615QP
malate:quinone oxidoreductase 	816277	817923	+	548	82776186	3799662	yojH	SDY_0866	COG0579R
IS600 ORF2 	818619	819395	-	258	82776187	3799663	-	SDY_0867	COG2801L
IS600 ORF1 	819536	819838	-	100	82776188	3799664	-	SDY_0868	COG2963L
ferredoxin-type protein 	820463	820957	+	164	82776189	3799666	napF	SDY_0870	COG1149C
assembly protein for periplasmic nitrate reductase 	820947	821210	+	87	82776190	3799667	napD	SDY_0871	COG3062P
nitrate reductase catalytic subunit 	821207	823693	+	828	82776191	3799668	napA	SDY_0872	COG0243C
quinol dehydrogenase periplasmic component 	823700	824395	+	231	82776192	3799669	napG	SDY_0873	COG1245R
quinol dehydrogenase membrane component 	824382	825245	+	287	82776193	3799670	napH	SDY_0874	COG0348C
citrate reductase cytochrome c-type subunit 	825242	825691	+	149	161950144	3799671	napB	SDY_0875	COG3043C
cytochrome c-type protein NapC 	825701	826303	+	200	82776195	3796881	napC	SDY_0876	COG3005C
cytochrome c biogenesis protein CcmA 	826322	826939	+	205	82776196	3796882	ccmA	SDY_0877	COG4133O
heme exporter protein B 	826936	827598	+	220	82776197	3796883	ccmB	SDY_0878	COG2386O
heme exporter protein C 	827640	828377	+	245	82776198	3796884	ccmC	SDY_0879	COG0755O
heme exporter protein C 	828374	828583	+	69	82776199	3796885	ccmD	SDY_0880	COG3114U
cytochrome c-type biogenesis protein CcmE 	828580	829059	+	159	82776200	3796886	ccmE	SDY_0881	COG2332O
cytochrome c-type biogenesis protein 	829056	830999	+	647	82776201	3796887	ccmF	SDY_0882	COG1138O
disulfide oxidoreductase 	830996	831553	+	185	82776202	3796888	dsbE	SDY_0883	COG0526OC
subunit of heme lyase 	831550	832602	+	350	82776203	3796889	ccmH	SDY_0884	COG4235O
transcriptional regulator NarP 	832813	833460	-	215	82776204	3796890	narP	SDY_0885	COG2197TK
iso-IS1 ORF2 	834089	834484	-	131	82776205	3796891	-	SDY_0886	COG1662L
IS1 ORF2 	835141	835344	-	67	82776206	3796892	insB	SDY_0887	COG1662L
IS1 ORF1 	835389	835664	-	91	82776207	3796893	insA	SDY_0888	COG3677L
putative ATP-binding component of a transport system 	835867	837921	+	684	82776208	3796894	yejO	SDY_0889	COG3468MU
putative sulfatase 	838174	839934	-	586	82776209	3796896	yejM	SDY_0891	COG3083R
hypothetical protein SDY_0892 	839954	840181	-	75	82776210	3796897	yejL	SDY_0892	COG3082S
nucleoid-associated protein NdpA 	840363	841370	+	335	82776211	3796898	yejK	SDY_0893	COG3081R
50S ribosomal protein L25 	841509	841793	-	94	82776212	3799304	rplY	SDY_0894	COG1825J
putative ATP-dependent helicase 	841918	843678	-	586	82776213	3799305	yejH	SDY_0895	COG1061KL
16S rRNA pseudouridylate synthase A 	843828	844523	+	231	82776214	3799306	rsuA	SDY_0896	COG1187J
bicyclomycin/multidrug efflux system 	844551	845741	+	396	82776215	3799307	bcr	SDY_0897	COG2814G
hypothetical protein SDY_0898 	846074	846418	+	114	82776216	3799308	yejG	SDY_0898	-
putative ATP-binding component of a transport system 	846422	848011	-	529	82776217	3799309	yejF	SDY_0899	COG4172R
putative transport system permease protein 	848013	849038	-	341	82776218	3799310	yejE	SDY_0900	COG4239R
putative transport system permease protein 	849038	850132	-	364	82776219	3799311	yejB	SDY_0901	COG4174R
hypothetical protein SDY_0902 	850133	851947	-	604	161950143	3799312	yejA	SDY_0902	COG4166E
hypothetical protein SDY_0903 	852029	853585	-	518	82776221	3799313	rtn	SDY_0903	COG2200T
putative outer membrane lipoprotein 	853766	854332	-	188	82776222	3799314	spr	SDY_0904	COG0791M
hypothetical protein SDY_0905 	854744	855493	-	249	82776223	3799315	-	SDY_0905	COG0671I
hypothetical protein SDY_0906 	855496	856482	-	328	82776224	3799316	yeiR	SDY_0906	COG0523R
putative oxidoreductase 	856657	858066	-	469	82776225	3799317	yeiQ	SDY_0907	COG0246G
elongation factor P 	858289	858861	-	190	161950142	3799318	yeiP	SDY_0908	COG0231J
putative transport 	859267	860448	-	393	82776227	3799319	yeiO	SDY_0909	COG2814G
iso-IS1 ORF2 	860588	860803	-	71	82776228	3799320	-	SDY_0910	COG1662L
hypothetical protein SDY_0911 	861177	861503	+	108	82776229	3799321	-	SDY_0911	-
hypothetical protein SDY_0912 	861552	862385	+	277	82776230	3799322	-	SDY_0912	COG3188NU
iso-IS1 ORF2 	862959	863174	+	71	82776231	3799323	-	SDY_0913	COG1662L
FimH-like protein 	863152	864219	+	355	82776232	3799615	-	SDY_0914	COG3539NU
putative fimbrial-like protein 	864263	864772	+	169	82776233	3799616	-	SDY_0915	COG3539NU
putative fimbrial-like protein 	864732	865295	+	187	82776234	3799617	-	SDY_0916	COG3539NU
putativi pili assembly chaperone 	865261	865998	+	245	82776235	3799618	ycbF	SDY_0917	COG3121NU
dihydroorotate dehydrogenase 2 	866109	867119	+	336	82776236	3799619	pyrD	SDY_0918	COG0167F
hypothetical protein SDY_0919 	867257	867835	+	192	82776237	3799620	ycbW	SDY_0919	-
hypothetical protein SDY_0920 	867832	868941	-	369	82776238	3799621	-	SDY_0920	COG3217R
23S rRNA m(2)G2445 methyltransferase 	869185	871293	+	702	82776239	3799622	rlmL	SDY_0921	COG0116L
ABC transporter ATPase component 	871305	873212	+	635	82776240	3799623	uup	SDY_0922	COG0488R
paraquat-inducible protein A 	873342	874595	+	417	82776241	3799624	pqiA	SDY_0923	COG2995S
paraquat-inducible protein B 	874600	876240	+	546	82776242	3799625	pqiB	SDY_0924	COG3008R
hypothetical protein SDY_0925 	876252	876800	+	182	82776243	3799626	ymbA	SDY_0925	COG3009S
ribosome modulation factor 	877056	877223	+	55	82776244	3799627	rmf	SDY_0926	COG3130J
3-hydroxydecanoyl-(acyl carrier protein) dehydratase 	877293	877811	-	172	82776245	3799628	fabA	SDY_0927	COG0764I
hypothetical protein SDY_0929 	879851	880303	+	150	82776246	3799630	ycbG	SDY_0929	COG3120S
outer membrane protein A 	880379	881431	-	350	82776247	3799631	ompA	SDY_0930	COG2885M
IS600 ORF1 	882087	882389	+	100	82776248	3799632	-	SDY_0931	COG2963L
IS600 ORF2 	882530	883315	+	261	82776249	3799633	-	SDY_0932	COG2801L
hypothetical protein SDY_0934 	883786	884415	+	209	82776250	3798487	-	SDY_0934	COG3070K
hypothetical protein SDY_0935 	884378	886540	-	720	82776251	3798488	-	SDY_0935	COG1289S
hypothetical protein SDY_0936 	886550	886996	-	148	82776252	3798489	yccF	SDY_0936	COG3304S
DNA helicase IV 	887119	889173	+	684	82776253	3798490	helD	SDY_0937	COG0210L
methylglyoxal synthase 	889205	889663	-	152	161950141	3798491	mgsA	SDY_0938	COG1803G
hypothetical protein SDY_0939 	889759	890421	-	220	82776255	3798492	-	SDY_0939	COG3110S
hypothetical protein SDY_0940 	890513	891007	+	164	82776256	3798493	-	SDY_0940	COG1832R
hypothetical protein SDY_0941 	891052	891420	-	122	82776257	3798494	yccV	SDY_0941	COG3785S
hypothetical protein SDY_0942 	891427	892623	-	398	82776258	3798495	yccW	SDY_0942	COG1092R
hypothetical protein SDY_0943 	892718	892996	+	92	82776259	3798496	-	SDY_0943	COG1254C
sulfur transfer protein TusE 	892993	893322	-	109	161950140	3798497	yccK	SDY_0944	COG2920P
hypothetical protein SDY_0945 	893413	894072	-	219	82776261	3798498	yccA	SDY_0945	COG0670R
hydrogenase-1 small subunit 	894797	895915	+	372	82776262	3798500	hyaA	SDY_0947	COG1740C
hydrogenase 1 large subunit 	895912	897618	+	568	82776263	3798501	hyaB	SDY_0948	COG0374C
hydrogenase 1 b-type cytochrome subunit 	897710	898417	+	235	82776264	3798502	hyaC	SDY_0949	COG1969C
hydrogenase 1 maturation protease 	898414	899001	+	195	82776265	3798503	hyaD	SDY_0950	COG0680C
hydrogenase-1 operon protein HyaE 	898998	899396	+	132	82776266	3798504	hyaE	SDY_0951	-
third cytochrome oxidase, subunit I 	900384	901928	+	514	82776267	3798729	appC	SDY_0953	COG1271C
third cytochrome oxidase, subunit II 	901940	903076	+	378	82776268	3798730	appB	SDY_0954	COG1294C
hypothetical protein SDY_0955 	903089	903181	+	30	82776269	3798731	yccB	SDY_0955	-
phosphoanhydride phosphorylase 	903261	904565	+	434	82776270	3798732	appA	SDY_0956	-
cryptic autophosphorylating protein tyrosine kinase Etk 	904685	906865	-	726	82776271	3798733	yccC	SDY_0957	COG3206M
phosphotyrosine-protein phosphatase 	906885	907331	-	148	161950139	3798734	etp	SDY_0958	COG0394T
putative function in exopolysaccharide production 	907319	908458	-	379	82776273	3798735	yccZ	SDY_0959	COG1596M
hypothetical protein SDY_0960 	908504	910600	-	698	82776274	3798736	ymcA	SDY_0960	-
hypothetical protein SDY_0961 	910600	911346	-	248	82776275	3798737	ymcB	SDY_0961	-
putative regulator 	911343	911987	-	214	82776276	3798738	ymcC	SDY_0962	-
hypothetical protein SDY_0963 	912094	912417	-	107	82776277	3798739	ymcD	SDY_0963	-
cold shock-like protein 	912841	913053	-	70	82776278	3798740	cspH	SDY_0964	COG1278K
iso-IS1 ORF2 	913330	913725	-	131	82776279	3798741	-	SDY_0965	COG1662L
hypothetical protein SDY_0966 	914060	914620	-	186	82776280	3798742	yccM	SDY_0966	COG0348C
TMAO reductase system periplasmic protein TorT 	917512	918540	+	342	82776281	3798744	torT	SDY_0968	COG1879G
DNA-binding transcriptional regulator TorR 	918513	919205	-	230	82776282	3798745	torR	SDY_0969	COG0745TK
chaperone protein TorD 	922989	923588	+	199	82776283	3797068	torD	SDY_0972	COG3381R
chaperone-modulator protein CbpM 	923740	924045	-	101	82776284	3797069	yccD	SDY_0973	-
curved DNA-binding protein CbpA 	924045	924965	-	306	82776285	3797070	cbpA	SDY_0974	COG0484O
iso-IS1 ORF2 	925531	925815	+	94	82776286	3797071	-	SDY_0975	COG1662L
IS1 ORF2 	925809	926186	-	125	82776287	3797072	insB	SDY_0976	COG1662L
hypothetical protein SDY_0977 	926614	927189	+	191	82776288	3797073	-	SDY_0977	-
glucose-1-phosphatase/inositol phosphatase 	927854	929095	+	413	82776289	3797074	agp	SDY_0978	-
hypothetical protein SDY_0979 	929133	929360	-	75	82776290	3797075	yccJ	SDY_0979	-
TrpR binding protein WrbA 	929381	929977	-	198	82776291	3797076	wrbA	SDY_0980	COG0655R
putative transport protein 	930606	932000	-	464	82776292	3797077	ycdG	SDY_0981	COG2233F
hypothetical protein SDY_0982 	931955	932413	-	152	82776293	3797078	-	SDY_0982	COG1853R
hypothetical protein SDY_0983 	932460	933050	-	196	82776294	3797079	-	SDY_0983	COG0778C
putative acetyltransferase 	933060	933734	-	224	82776295	3797080	-	SDY_0984	COG0596R
hypothetical protein SDY_0985 	933742	934128	-	128	82776296	3797081	-	SDY_0985	COG0251J
hypothetical protein SDY_0987 	934832	935980	-	382	82776297	3797083	-	SDY_0987	COG2141C
putative tet operon regulator 	936212	936850	+	212	82776298	3797084	ycdC	SDY_0988	COG1309K
major sodium/proline symporter 	941275	942783	+	502	82776299	3797125	putP	SDY_0990	COG0591ER
hypothetical protein SDY_0991 	942932	943825	-	297	82776300	3797126	-	SDY_0991	-
iso-IS1 ORF2 	944561	944698	-	45	82776301	3797127	-	SDY_0992	COG1662L
IS1 ORF1 	944740	945015	+	91	82776302	3797128	insA	SDY_0993	COG3677L
IS1 ORF2 	945060	945437	+	125	82776303	3797129	insB	SDY_0994	COG1662L
iso-IS1 ORF2 	945448	945732	-	94	82776304	3797130	-	SDY_0995	COG1662L
curli assembly protein CsgE 	946490	946879	+	129	82776305	3797132	csgE	SDY_0997	-
curli assembly protein CsgF 	946904	947320	+	138	82776306	3797133	csgF	SDY_0998	-
curli production assembly/transport component 	947347	948180	+	277	82776307	3797134	csgG	SDY_0999	COG1462M
iso-IS1 ORF2 	948571	948966	+	131	82776308	3797135	-	SDY_1000	COG1662L
hypothetical protein SDY_1001 	949018	949557	-	179	82776309	3797136	ycdZ	SDY_1001	-
putative oxidoreductase component 	949611	950165	-	184	82776310	3797137	ycdY	SDY_1002	COG3381R
putative hydrolase 	950189	950926	-	245	82776311	3797138	ycdX	SDY_1003	COG1387ER
putative dehydrogenase 	950981	951958	-	325	82776312	3797139	ycdW	SDY_1004	COG0111HE
hypothetical protein SDY_1006 	952390	953232	-	280	82776313	3797141	-	SDY_1006	-
hypothetical protein SDY_1007 	953329	953526	-	65	82776314	3797142	-	SDY_1007	-
hypothetical protein SDY_1008 	953538	954029	-	163	82776315	3797163	-	SDY_1008	-
hypothetical protein SDY_1009 	954026	954400	-	124	82776316	3797164	yeeV	SDY_1009	-
putative structural protein 	954447	954824	-	125	82776317	3797165	yeeU	SDY_1010	-
hypothetical protein SDY_1011 	954874	955518	-	214	82776318	3797166	-	SDY_1011	-
hypothetical protein SDY_1012 	955537	955758	-	73	82776319	3797167	yeeT	SDY_1012	-
putative radC-like protein yeeS 	955827	956279	-	150	82776320	3797168	-	SDY_1013	COG2003L
hypothetical protein SDY_1014 	956295	956840	-	181	82776321	3797169	-	SDY_1014	-
hypothetical protein SDY_1015 	957048	957869	-	273	82776322	3797170	-	SDY_1015	-
hypothetical protein SDY_1016 	958263	958526	-	87	82776323	3797171	-	SDY_1016	-
hypothetical protein SDY_1017 	959177	959644	-	155	82776324	3797172	-	SDY_1017	-
IS600 ORF2 	960581	961423	+	280	82776325	3797173	-	SDY_1018	COG2801L
insertion element IS2 transposase InsD 	961257	962162	-	301	161950138	3797174	-	SDY_1019	COG2801L
insertion sequence 2 OrfA protein 	962120	962485	-	121	82776327	3797175	-	SDY_1020	COG2963L
iso-IS1 ORF2 	963197	963592	-	131	82776328	3797176	-	SDY_1021	COG1662L
outer membrane receptor FepA 	963985	966162	+	725	82776329	3797177	iroN	SDY_1022	COG4771P
hypothetical protein SDY_1023 	966207	967163	-	318	82776330	3797178	iroE	SDY_1023	COG2819R
putative ferric enterochelin esterase 	967248	968477	-	409	82776331	3797179	iroD	SDY_1024	COG2382P
putative ABC transporter protein 	968581	972240	-	1219	82776332	3797180	iroC	SDY_1025	COG1132V
putative glycosyl transferase 	972380	973495	-	371	82776333	3797181	iroB	SDY_1026	COG1819GC
hypothetical protein SDY_1027 	974037	974246	+	69	82776334	3797182	-	SDY_1027	-
IS911 ORF2 	974255	974776	-	173	82776335	3796804	-	SDY_1028	COG2801L
IS911 ORF2 	974745	975095	-	116	82776336	3796805	-	SDY_1029	-
IS911 ORF1 	975122	975424	-	100	82776337	3796806	-	SDY_1030	COG2963L
iso-IS1 ORF2 	976057	976452	-	131	82776338	3796807	-	SDY_1031	COG1662L
hypothetical protein SDY_1032 	976647	976859	+	70	82776339	3796808	-	SDY_1032	-
hypothetical protein SDY_1033 	977103	977753	-	216	82776340	3796809	-	SDY_1033	COG3443R
putative sulfite oxidase subunit YedZ 	978010	978645	-	211	82776341	3796810	-	SDY_1034	COG2717S
putative sulfite oxidase subunit YedY 	978646	979650	-	334	82776342	3796811	-	SDY_1035	COG2041R
iso-IS1 ORF2 	979876	980271	-	131	82776343	3796812	-	SDY_1036	COG1662L
hypothetical protein SDY_1037 	980466	980765	+	99	82776344	3796813	-	SDY_1037	-
hypothetical protein SDY_1038 	980610	980936	-	108	82776345	3796814	-	SDY_1038	COG2351R
transcriptional regulatory protein YedW 	981069	981719	+	216	161950137	3796815	yedW	SDY_1039	COG0745TK
iso-IS1 ORF2 	981694	982089	-	131	82776347	3796816	-	SDY_1040	COG1662L
hypothetical protein SDY_1041 	982284	982514	+	76	82776348	3796817	-	SDY_1041	-
hypothetical protein SDY_1042 	982511	982894	+	127	82776349	3796818	-	SDY_1042	-
hypothetical protein SDY_1043 	982934	983182	+	82	82776350	3796819	-	SDY_1043	COG1418R
hypothetical protein SDY_1044 	983190	983618	+	142	82776351	3796820	yedJ	SDY_1044	COG1418R
DNA cytosine methylase 	983685	985103	+	472	82776352	3796821	dcm	SDY_1045	COG0270L
DNA mismatch endonuclease, patch repair protein 	985084	985554	+	156	82776353	3796822	vsr	SDY_1046	COG3727L
hypothetical protein SDY_1047 	985543	986463	-	306	82776354	3796728	yedA	SDY_1047	-
hypothetical protein SDY_1048 	986636	987553	+	305	82776355	3796729	yedI	SDY_1048	COG2354S
